cellIndex	x	z	P	Q	matNum	fixed
634	16.75	3.25	6.75	0	64	false
635	17.25	3.25	6.75	0	93	false
636	17.75	3.25	6.75	0	93	false
637	18.25	3.25	6.75	0	72	false
638	18.75	3.25	6.75	0	38	false
639	19.25	3.25	6.75	0	3	false
640	19.75	3.25	6.75	0	4	false
641	20.25	3.25	6.75	0	5	false
642	20.75	3.25	6.75	0	25	false
643	21.25	3.25	6.75	0	70	false
644	21.75	3.25	6.75	0	95	false
645	22.25	3.25	6.75	0	97	false
646	22.75	3.25	6.75	0	84	false
647	23.25	3.25	6.75	0	86	false
648	23.75	3.25	6.75	0	47	false
649	24.25	3.25	6.75	0	47	false
650	24.75	3.25	6.75	0	68	false
651	25.25	3.25	6.75	0	85	false
652	25.75	3.25	6.75	0	80	false
653	26.25	3.25	6.75	0	79	false
654	26.75	3.25	6.75	0	76	false
655	27.25	3.25	6.75	0	92	false
656	27.75	3.25	6.75	0	75	false
657	28.25	3.25	6.75	0	67	false
658	28.75	3.25	6.75	0	44	false
659	29.25	3.25	6.75	0	44	false
660	29.75	3.25	6.75	0	34	false
661	30.25	3.25	6.75	0	57	false
662	30.75	3.25	6.75	0	75	false
663	31.25	3.25	6.75	0	59	false
664	31.75	3.25	6.75	0	85	false
665	32.25	3.25	6.75	0	99	false
666	32.75	3.25	6.75	0	84	false
667	33.25	3.25	6.75	0	96	false
668	33.75	3.25	6.75	0	80	false
669	34.25	3.25	6.75	0	80	false
670	34.75	3.25	6.75	0	49	false
671	35.25	3.25	6.75	0	49	false
672	35.75	3.25	6.75	0	27	false
673	36.25	3.25	6.75	0	51	false
674	36.75	3.25	6.75	0	75	false
675	37.25	3.25	6.75	0	72	false
676	37.75	3.25	6.75	0	72	false
677	38.25	3.25	6.75	0	55	false
678	38.75	3.25	6.75	0	77	false
679	39.25	3.25	6.75	0	49	false
680	39.75	3.25	6.75	0	29	false
681	40.25	3.25	6.75	0	27	false
682	40.75	3.25	6.75	0	41	false
683	41.25	3.25	6.75	0	13	false
684	41.75	3.25	6.75	0	20	false
685	42.25	3.25	6.75	0	26	false
686	42.75	3.25	6.75	0	21	false
687	43.25	3.25	6.75	0	33	false
688	43.75	3.25	6.75	0	4	false
689	44.25	3.25	6.75	0	39	false
690	44.75	3.25	6.75	0	13	false
691	45.25	3.25	6.75	0	10	false
